"TABSCHEMA","TABNAME","INDNAME","UNIQUERULE","INDEXTYPE"
MAXIMO  ,BIMTYPEMAP,SQL251206163615440,P,REG 
MAXIMO  ,BIMTYPEMAPLIST,SQL251206163615560,P,REG 
MAXIMO  ,BIMUPLOAD,SQL251206163615690,P,REG 
MAXIMO  ,BOOKMARK,BOOKMARK_NDX1,U,REG 
MAXIMO  ,BOOKMARK,SQL251206163615820,P,REG 
MAXIMO  ,BUDGET,BUDGET_NDX1,U,REG 
MAXIMO  ,BUDGET,SQL251206163615940,P,REG 
MAXIMO  ,BUDGETANALYSISAXIS,BUDGETANALYSISAXIS_NDX2,U,REG 
MAXIMO  ,BUDGETANALYSISAXIS,BUDGETANALYSI_NDX1,U,REG 
MAXIMO  ,BUDGETANALYSISAXIS,SQL251206163616070,P,REG 
MAXIMO  ,BUDGETANALYSISAXISNUMBER,BUDGETANALYSI_NDX3,U,REG 
MAXIMO  ,BUDGETANALYSISAXISNUMBER,SQL251206163616190,P,REG 
MAXIMO  ,BUDGETFLAG,BUDGETFLAG_NDX1,U,REG 
MAXIMO  ,BUDGETFLAG,SQL251206163616310,P,REG 
MAXIMO  ,BUDGETLINE,BUDGETLINE_NDX1,U,REG 
MAXIMO  ,BUDGETLINE,BUDGETLINE_NDX2,U,REG 
MAXIMO  ,BUDGETLINE,SQL251206163616450,P,REG 
MAXIMO  ,BUDGETRULE,BUDGETRULE_NDX1,U,REG 
MAXIMO  ,BUDGETRULE,SQL251206163616570,P,REG 
MAXIMO  ,BUDGETRULEASSOC,BUDGETRULEASS_NDX1,U,REG 
MAXIMO  ,BUDGETRULEASSOC,SQL251206163616710,P,REG 
MAXIMO  ,BUDGETRULEPROC,BUDGETRULEPRO_NDX2,U,REG 
MAXIMO  ,BUDGETRULEPROC,SQL251206163616830,P,REG 
MAXIMO  ,BUDGETRULEPROCTRANS,BUDGETRULEPROCTRANS_NDX1,D,REG 
MAXIMO  ,BUDGETRULEPROCTRANS,BUDGETRULEPRO_NDX3,U,REG 
MAXIMO  ,BUDGETRULEPROCTRANS,SQL251206163616960,P,REG 
MAXIMO  ,BUDGETRULETRANSDATE,BUDGETRULETRA_NDX1,U,REG 
MAXIMO  ,BUDGETRULETRANSDATE,SQL251206163617080,P,REG 
MAXIMO  ,BUDGETSTATUS,SQL251206163617200,P,REG 
MAXIMO  ,BUILDINGMODEL,BUILDINGMODEL_NDX1,U,REG 
MAXIMO  ,BUILDINGMODEL,SQL251206163617330,P,REG 
MAXIMO  ,BULLETINBOARD,BULLETINBOARD_NDX,U,REG 
MAXIMO  ,BULLETINBOARD,BULLETINBOARD_NDX1,D,REG 
MAXIMO  ,BULLETINBOARD,SQL251206163617460,P,REG 
MAXIMO  ,CALENDAR,CALENDAR_NDX,U,REG 
MAXIMO  ,CALENDAR,SQL251206163617580,P,REG 
MAXIMO  ,CALENDARBREAK,CALENDARBREAK_NDX1,U,REG 
MAXIMO  ,CALENDARBREAK,SQL251206163617710,P,REG 
MAXIMO  ,CDMCITYPES,SQL251206163617840,P,REG 
MAXIMO  ,CHARPOINTACTION,CHARPOINTACTIONNDX,U,REG 
MAXIMO  ,CHARPOINTACTION,SQL251206163617970,P,REG 
MAXIMO  ,CHARTOFACCOUNTS,CHARTOFACCOUNTS_NDX10,D,REG 
MAXIMO  ,CHARTOFACCOUNTS,CHARTOFACCOUNTS_NDX2,D,REG 
MAXIMO  ,CHARTOFACCOUNTS,CHARTOFACCOUNTS_NDX3,D,REG 
MAXIMO  ,CHARTOFACCOUNTS,CHARTOFACCOUNTS_NDX4,D,REG 
MAXIMO  ,CHARTOFACCOUNTS,CHARTOFACCOUNTS_NDX5,D,REG 
MAXIMO  ,CHARTOFACCOUNTS,CHARTOFACCOUNTS_NDX6,D,REG 
