"USERID","PERSONID","STATUS","DEFSITE","TYPE","GROUPNAME"
USERREPARO,USERREPARO,INACTIVE,ODN1,TYPE 1,OOG_ALL_DRILLING
USERREPARO,USERREPARO,INACTIVE,ODN1,TYPE 1,OOG_SUP_REPAIR_RETURN
USERTESTE,USERTESTE,INACTIVE,N06,TYPE 3,MAXEVERYONE
USERTESTE,USERTESTE,INACTIVE,N06,TYPE 3,OOG_ALL_DRILLING
USERTESTE,USERTESTE,INACTIVE,N06,TYPE 3,OOG_MATERIAL_ENGINEER
USERTESTE,USERTESTE,INACTIVE,N06,TYPE 3,OOG_MOCDOC_EMISSOR
USERTESTE,USERTESTE,INACTIVE,N06,TYPE 3,PRIO_USERS
USERTESTE4,TESTETE,INACTIVE,BASE-UNP,TYPE 3,MAXEVERYONE
USERTESTE4,TESTETE,INACTIVE,BASE-UNP,TYPE 3,OOG_ALL_DRILLING
USERTESTE4,TESTETE,INACTIVE,BASE-UNP,TYPE 3,OOG_MATERIAL_ENGINEER
USERTESTE4,TESTETE,INACTIVE,BASE-UNP,TYPE 3,OOG_MOCDOC_EMISSOR
USERTESTE45,USERTESTE45,INACTIVE,OP-BASE,TYPE 1,MAXEVERYONE
USERTESTE45,USERTESTE45,INACTIVE,OP-BASE,TYPE 1,OOG_ALL_DRILLING
USERTESTE45,USERTESTE45,INACTIVE,OP-BASE,TYPE 1,OOG_MOCDOC_APROVADOR
USERTESTE5,USERTESTE5,INACTIVE,N08,TYPE 1,MAXEVERYONE
USERTESTE5,USERTESTE5,INACTIVE,N08,TYPE 1,OOG_ALL_DRILLING
USERTESTE5,USERTESTE5,INACTIVE,N08,TYPE 1,OOG_BASE_READ_ONLY
USUARIOBASETESTEPTW,USUARIOBASETESTEPTW,DELETED,OP-BASE,TYPE 10,
VALIDA_BASE,VALIDA_BASE,INACTIVE,N06,TYPE 1,MAXEVERYONE
VALIDA_BASE,VALIDA_BASE,INACTIVE,N06,TYPE 1,OOG_ALL_DRILLING
VALIDA_BASE,VALIDA_BASE,INACTIVE,N06,TYPE 1,OOG_MAINTENANCE_LEADER
VANDERLEYJUNIOR,VANDERLEYJUNIOR,INACTIVE,ODN2,TYPE 4,MAXEVERYONE
VANDERLEYJUNIOR,VANDERLEYJUNIOR,INACTIVE,ODN2,TYPE 4,OOG_ALL_DRILLING
VANDERLEYJUNIOR,VANDERLEYJUNIOR,INACTIVE,ODN2,TYPE 4,OOG_ASSET_ENGINEER
VANESSALESSA,VANESSALESSA,INACTIVE,N06,TYPE 4,MAXEVERYONE
VANESSALESSA,VANESSALESSA,INACTIVE,N06,TYPE 4,OOG_ALL_DRILLING
VANESSALESSA,VANESSALESSA,INACTIVE,N06,TYPE 4,OOG_BASE_READ_ONLY
VANESSALESSA,VANESSALESSA,INACTIVE,N06,TYPE 4,OOG_RIGSUPSQP
VANESSAOLIVEIRA,VANESSAOLIVEIRA,INACTIVE,OP-BASE,TYPE 3,MAXEVERYONE
VANESSAOLIVEIRA,VANESSAOLIVEIRA,INACTIVE,OP-BASE,TYPE 3,OOG_ALL_DRILLING
VANESSAOLIVEIRA,VANESSAOLIVEIRA,INACTIVE,OP-BASE,TYPE 3,OOG_MOCDOC_EMISSOR
VANESSAPESSANHA,VANESSAPESSANHA,INACTIVE,ODN1,TYPE 5,MAXEVERYONE
VANESSAPESSANHA,VANESSAPESSANHA,INACTIVE,ODN1,TYPE 5,OOG_ALL_DRILLING
VANESSAPESSANHA,VANESSAPESSANHA,INACTIVE,ODN1,TYPE 5,OOG_BASE_READ_ONLY
VANESSAPESSANHA,VANESSAPESSANHA,INACTIVE,ODN1,TYPE 5,OOG_MOCDOC_EMISSOR
