IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, APP, OPTIONNAME FROM APPLICATIONAUTH;
  MAXDEFLTREG, STARTCNTR, UPDATETEMP
  MAXEVERYONE, STARTCNTR, UPDATETEMP
  MAXADMIN, SECURGROUP, RUNREPORTS
  MAXADMIN, ACTUALCI, PUBLICREPT
  MAXADMIN, ASSET, PUBLICREPT
  MAXADMIN, CHRTACCT, PUBLICREPT
  MAXADMIN, CI, PUBLICREPT
  MAXADMIN, COLLECTION, PUBLICREPT
  MAXADMIN, COMPANY, PUBLICREPT
  MAXADMIN, COND, PUBLICREPT
  MAXADMIN, CONDEXPMGR, PUBLICREPT
  MAXADMIN, CONFIGUR, PUBLICREPT
  MAXADMIN, CONTLABOR, PUBLICREPT
  MAXADMIN, CONTLEASE, PUBLICREPT
  MAXADMIN, CONTMASTER, PUBLICREPT
  MAXADMIN, CONTPURCH, PUBLICREPT
  MAXADMIN, CONTSFW, PUBLICREPT
  MAXADMIN, CONTWARRTY, PUBLICREPT
  MAXADMIN, CRAFT, PUBLICREPT
  MAXADMIN, DM, PUBLICREPT
  MAXADMIN, DOMAINADM, PUBLICREPT
  MAXADMIN, DPLDASSET, PUBLICREPT
  MAXADMIN, FAILURE, PUBLICREPT
  MAXADMIN, FEATURE, PUBLICREPT
  MAXADMIN, HAZARDS, PUBLICREPT
  MAXADMIN, INVISSUE, PUBLICREPT
  MAXADMIN, INVOICE, PUBLICREPT
  MAXADMIN, ITEM, PUBLICREPT
  MAXADMIN, JOBPLAN, PUBLICREPT
  MAXADMIN, KPI, PUBLICREPT
  MAXADMIN, LABOR, PUBLICREPT
  MAXADMIN, USER, BOOKMARK
  MAXADMIN, USER, CHGPERSON
  MAXADMIN, USER, CLEAR
  MAXADMIN, USER, CREATEKPI
  MAXADMIN, USER, DBACCESS
  MAXADMIN, USER, DELETE
  MAXADMIN, USER, DUPLICATE
  MAXADMIN, USER, GRPASSIGN
  MAXADMIN, USER, HELPWF
  MAXADMIN, USER, HISTORYWF
  MAXADMIN, USER, INSERT
  MAXADMIN, USER, NEXT
  MAXADMIN, USER, PREVIOUS
  MAXADMIN, USER, PROFILE
  MAXADMIN, LABREP, PUBLICREPT
  MAXADMIN, LOCATION, PUBLICREPT
  MAXADMIN, REPORT, DELETE
  MAXADMIN, REPORT, INSERT
  MAXADMIN, REPORT, READ
  MAXADMIN, REPORT, SAVE
  MAXADMIN, REPORT, BOOKMARK
  MAXADMIN, REPORT, CLEAR
  MAXADMIN, REPORT, NEXT
  MAXADMIN, REPORT, PREVIOUS
  MAXADMIN, REPORT, REPEXPREP
  MAXADMIN, REPORT, REPEXPLIB
  MAXADMIN, REPORT, REPIMPLIB
  MAXADMIN, REPORT, REPIMPREP
  MAXADMIN, REPORT, CFGDS
  MAXADMIN, METER, PUBLICREPT
  MAXADMIN, METERGRP, PUBLICREPT
  MAXADMIN, ACTIVITY, CREATEREPT
  MAXADMIN, ACTUALCI, CREATEREPT
  MAXADMIN, ASSET, CREATEREPT
  MAXADMIN, ASSETCAT, CREATEREPT
  MAXADMIN, CALENDR, CREATEREPT
  MAXADMIN, CHANGE, CREATEREPT
  MAXADMIN, CHRTACCT, CREATEREPT
  MAXADMIN, CI, CREATEREPT
  MAXADMIN, COLLECTION, CREATEREPT
  MAXADMIN, COMPANY, CREATEREPT
  MAXADMIN, COND, CREATEREPT
  MAXADMIN, CONFIGUR, CREATEREPT
  MAXADMIN, CONTLABOR, CREATEREPT
  MAXADMIN, CONTLEASE, CREATEREPT
  MAXADMIN, CONTMASTER, CREATEREPT
  MAXADMIN, CONTPURCH, CREATEREPT
  MAXADMIN, CONTSFW, CREATEREPT
  MAXADMIN, CONTWARRTY, CREATEREPT
  MAXADMIN, CRAFT, CREATEREPT
