IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT LICENSENUM, APPNAME, ACCESSLEVEL, MODULE, MAXPRODID FROM MAXLICAPPS;
  O&G_AUTHORIZED, PR, FULLACCESS, PURCHASE, MAXIMO
  O&G_AUTHORIZED, QUAL, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, QUICKREP, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, RECEIPTS, FULLACCESS, PURCHASE, MAXIMO
  O&G_AUTHORIZED, RELATION, FULLACCESS, ASSET, MAXIMO
  O&G_AUTHORIZED, RPTOUTPUT, FULLACCESS, ANALYTICS, MAXIMO
  O&G_AUTHORIZED, RFQ, FULLACCESS, PURCHASE, MAXIMO
  O&G_AUTHORIZED, ROUTES, FULLACCESS, PLANS, MAXIMO
  O&G_AUTHORIZED, SAFEPLAN, FULLACCESS, PLANS, MAXIMO
  O&G_AUTHORIZED, ECOMMADAPT, FULLACCESS, -, MAXIMO
  O&G_AUTHORIZED, SRVCOMMOD, FULLACCESS, SLA, MAXIMO
  O&G_AUTHORIZED, SRVITEM, FULLACCESS, INVENTOR, MAXIMO
  O&G_AUTHORIZED, SLA, FULLACCESS, SLA, MAXIMO
  O&G_AUTHORIZED, SHIPREC, FULLACCESS, INVENTOR, MAXIMO
  O&G_AUTHORIZED, TOOLINV, FULLACCESS, INVENTOR, MAXIMO
  O&G_AUTHORIZED, STOREROOM, FULLACCESS, INVENTOR, MAXIMO
  O&G_AUTHORIZED, TERMCOND, FULLACCESS, PURCHASE, MAXIMO
  O&G_AUTHORIZED, TKTEMPLATE, FULLACCESS, SD, MAXIMO
  O&G_AUTHORIZED, TOOL, FULLACCESS, INVENTOR, MAXIMO
  O&G_AUTHORIZED, VIEWDRFT, FULLACCESS, SSDR, MAXIMO
  O&G_AUTHORIZED, VIEWDR, FULLACCESS, SSDR, MAXIMO
  O&G_AUTHORIZED, VIEWSR, FULLACCESS, SSDR, MAXIMO
  O&G_AUTHORIZED, VIEWTMPL, FULLACCESS, SSDR, MAXIMO
  O&G_AUTHORIZED, CONTWARRTY, FULLACCESS, CONTRACT, MAXIMO
  O&G_AUTHORIZED, WSREGISTRY, FULLACCESS, INT, MAXIMO
  O&G_AUTHORIZED, WOTRACK, FULLACCESS, WO, MAXIMO
  O&G_AUTHORIZED, AMCREW, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, AMCREWT, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, SEARCHSOL, FULLACCESS, SSDR, MAXIMO
  O&G_AUTHORIZED, SOLUTION, FULLACCESS, SD, MAXIMO
  O&G_AUTHORIZED, CI, FULLACCESS, CI, MAXIMO
  O&G_AUTHORIZED, JSONRES, FULLACCESS, INT, MAXIMO
  O&G_AUTHORIZED, BIMPROJECT, FULLACCESS, -, MAXIMO
  O&G_AUTHORIZED, PRODUCT, FULLACCESS, -, MAXIMO
  O&G_AUTHORIZED, DESIGNSPEC, FULLACCESS, -, MAXIMO
  O&G_AUTHORIZED, BIMMODELS, FULLACCESS, -, MAXIMO
  O&G_AUTHORIZED, LICTRACK, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, MFMAILCFG, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, ACTION, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, DESIGNER, FULLACCESS, UTIL, MAXIMO
  O&G_AUTHORIZED, BBOARD, FULLACCESS, SETUP, MAXIMO
  O&G_AUTHORIZED, CALENDR, FULLACCESS, SETUP, MAXIMO
