IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT NAME, PARENT, CHILD, WHERECLAUSE, CARDINALITY, DBJOINREQUIRED, REMARKS, MAXRELATIONSHIPID FROM MAXRELATIONSHIP;
  EXTDRILLDOWN, POLINE, EXTDRILLDOWN, -, -, -, Relationship from the POLINE to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100147
  EXTDRILLDOWN, ASSET, EXTDRILLDOWN, -, -, -, Relationship from the ASSET to the non-persistent DrillDown table. (No where clause). The resulting set will contain zero objects. This relationship is used when the DrillDown page is launched from a location or asset field., 100148
  ITEM, PRSTATUS, ITEM, itemnum= :OOG_ITEMNUM, -, 0, Relationship to retrieve the item, 99759
  PR, PRSTATUS, PR, PRNUM= :PRNUM AND SITEID = :SITEID, -, 0, Relationship to retrieve the PR, 99760
  ENDLOCATION, SKDDATAVALRESULT, ASSIGNMENT, location=:sdmendlocation and siteid=:endlocsiteid, -, -, Return  LOCATIONS  associated with the SDMENDLOCATION, 100666
  SKDCRAFT, SKDPROJECT, CRAFT, craftid in (select objectid from skdresource where skdprojectid = :skdprojectid and refobjname = 'CRAFT'), -, -, Return  CRAFTS  associated with the SKDPROJECT, 100667
  SKDLABOR, SKDPROJECT, LABOR, laborid in (select objectid from skdresource where skdprojectid = :skdprojectid and refobjname = 'LABOR'), -, -, Return  LABORS  associated with the SKDPROJECT, 100668
  SKDAMCREW, SKDPROJECT, AMCREW, amcrewid in (select objectid from skdresource where skdprojectid = :skdprojectid and refobjname = 'AMCREW'), -, -, Return  AMCREWS  associated with the SKDPROJECT, 100669
  AMCREW, SKDPROJECTRESOURCEGA, AMCREW, amcrew=:amcrew and orgid=:orgid, -, -, Relationship from table SKDPROJECTRESOURCEGA to Crew., 100670
  LABOR, SKDPROJECTRESOURCEGA, LABOR, laborcode=:laborcode and orgid=:orgid, -, -, Relationship from table SKDPROJECTRESOURCEGA to Labor., 100671
  SKDPROJECTRESOURCEGA, SKDPROJECT, SKDPROJECTRESOURCEGA, projectname=:name, -, -, Relate the Project Resources with the SKDProject table, 100672
  SKDDATAVALRESULT, SKDPROJECTRESOURCEGA, SKDDATAVALRESULT, projectname=:projectname, -, -, Get Resource SKDDataValResult from Project Resources, 100673
  SKDRESOURCECLDATAVALRESULT, SKDPROJECT, SKDDATAVALRESULT, objectname in ('AMCREW', 'LABOR', 'STARTENDLOC') and projectname = (select name from skdproject where skdprojectid = :skdprojectid), -, -, Get resource skddatavalresult from skdproject table, 100674
  SKDAMCREWDATAVALRESULT, SKDDATAVALRESULT, AMCREW, amcrewid = :objectid and amcrewid in (select objectid from skddatavalresult where objectname='AMCREW'), -, -, Get amcrew resource from skddatavalresult table, 100675
  SKDLABORDATAVALRESULT, SKDDATAVALRESULT, LABOR, laborid = :objectid and laborid in (select objectid from skddatavalresult where objectname='LABOR'), -, -, Get labor resource from skddatavalresult table, 100676
  SKDDTRESERRWARRE, SKDPROJECTRESOURCE, SKDDATAVALRESULT, projectname=:projectname and ((objectname='AMCREWT' and objectid=:amcrewtid) or (objectname='CRAFT' and objectid=:craftid)), -, -, Get skddatavalresult from SKDPROJECTRESOURCE table, 100677
  SKDDTRESGAERRWARRE, SKDPROJECTRESOURCEGA, SKDDATAVALRESULT, projectname=:projectname and ((objectname='AMCREW' and objectid=:amcrewid) or (objectname='LABOR' and objectid=:laborid)), -, -, Get skddatavalresult from SKDPROJECTRESOURCEGA table, 100678
  MAPMANAGER, SKDPROJECT, MAPMANAGER, active=:yes and exists (select 1 from mapsites where mapname=mapmanager.mapname and siteid = (select defsite from maxuser where userid=:&USERNAME&)), -, -, Relationship to the active map manager for a logged in user default insert site., 100679
  MAPMANAGERALL, SKDPROJECT, MAPMANAGER, 1=1, -, -, Relationship to the all map managers., 100680
  RESLEVELPARAMIMM, SKDPROJECTSCENARIO, SKDRESLEVELPARAM, skdreslevelparamid=:inputobjid and forimmediaterun=:yes, -, -, Resource Leveling Parameter for run optimization immediately., 100681
  RESLEVELPARAMCRON, SKDPROJECTSCENARIO, SKDRESLEVELPARAM, skdreslevelparamid=(select cronskdreslevelparamid from skdreslevelparam where skdreslevelparamid=:inputobjid) and forimmediaterun=:no, -, -, Resource Leveling Parameter for run optimization at the time or periodically., 100682
  CAPACITYPLANPARAMIMM, SKDPROJECTSCENARIO, SKDCAPACITYPLANPARAM, skdcapacityplanparamid=:inputobjid and forimmediaterun=:yes, -, -, Capacity Planning Parameter for run optimization immediately., 100683
  CAPACITYPLANPARAMCRON, SKDPROJECTSCENARIO, SKDCAPACITYPLANPARAM, skdcapacityplanparamid=(select cronskdcapacityplanparamid from skdcapacityplanparam where skdcapacityplanparamid=:inputobjid) and forimmediaterun=:no, -, -, Capacity Planning Parameter for run optimization at the time or periodically., 100684
  CAPPLANPARAMIMM, SKDPROJECTSCENARIO, SKDCAPACITYPLANPARAM, skdcapacityplanparamid=:inputobjid and forimmediaterun=:yes, -, -, Capacity Planning Parameter for run optimization immediately., 100685
  CAPPLANPARAMCRON, SKDPROJECTSCENARIO, SKDCAPACITYPLANPARAM, skdcapacityplanparamid=(select cronskdcapacityplanparamid from skdcapacityplanparam where skdcapacityplanparamid=:inputobjid) and forimmediaterun=:no, -, -, Capacity Planning Parameter for run optimization at the time or periodically., 100686
  LABORMODPARAMIMM, SKDPROJECTSCENARIO, SKDLABORMODPARAM, skdlabormodparamid=:inputobjid and forimmediaterun=:yes, -, -, Labor Assignment Parameter for run optimization immediately., 100687
  LABORMODPARAMCRON, SKDPROJECTSCENARIO, SKDLABORMODPARAM, skdlabormodparamid=(select cronskdlabormodparamid from skdlabormodparam where skdlabormodparamid=:inputobjid) and forimmediaterun=:no, -, -, Labor Assignment Parameter for run optimization at the time or periodically., 100688
