ENVIRONMENT,APPNAME,MODULE,SELFSERVICE,LIMITEDUSE,AUTHORIZEDUSE
BASE,PLUSAROLCA,AVIATION,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSACA,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSALOGS,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSARSCFG,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSAPMEXTENSION,PM,NOACCESS,READONLY,FULLACCESS
BASE,PLUSASLT,PLANS,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSASSET,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCL,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCLSIGN,WO,FULLACCESS,FULLACCESS,FULLACCESS
BASE,PLUSCMT,WO,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSCOMPAN,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSEVENT,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSFREQ,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSIMPACT,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSINV,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSITEM,INVENTOR,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSLOCAT,ASSET,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSMSITE,SETUP,NOACCESS,READONLY,FULLACCESS
BASE,PLUSPM,PM,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSPO,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSPR,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSQREP,WO,NOACCESS,FULLACCESS,FULLACCESS
BASE,PLUSRFQ,PURCHASE,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSSR,PLUSOPMNGT,NOACCESS,READSAVE,FULLACCESS
BASE,PLUSTERMCD,PURCHASE,NOACCESS,READONLY,FULLACCESS
