ENVIRONMENT,USERID,STATUS,CHANGEDATE,MEMO,CHANGEBY
BASE,ALEXANDRERIBEIRO,INACTIVE,2021-04-27-13.05.07.000000,TICKET#0195056,ITEAM
BASE,ALEXANDRERIBEIRO,ACTIVE,2021-05-03-16.51.59.000000,,MAXADOOG
BASE,ALEXANDRERIBEIRO,INACTIVE,2024-10-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDRESOUSA,ACTIVE,2025-06-12-09.36.27.000000,,ITEAM
BASE,ALEXANDRESOUSA,BLOCKED,2026-01-20-16.14.50.959000,,MAXADMIN
BASE,ALEXANDRESOUSA,ACTIVE,2026-01-20-16.17.02.503000,,MAXADMIN
BASE,ALEXANDRESOUSA,BLOCKED,2026-02-25-13.33.02.317000,,MAXADMIN
BASE,ALEXANDRESOUSA,ACTIVE,2026-02-25-13.39.50.195000,,MAXADMIN
BASE,ALEXANDRESOUSA,INACTIVE,2026-03-25-09.00.01.172000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXANDRESOUSA,INACTIVE,2026-04-25-07.30.02.318000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2017-11-03-15.56.28.000000,,MAXADOOG
BASE,ALEXEIKERKIS,BLOCKED,2017-11-16-15.14.44.000000,,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2017-11-16-15.17.44.000000,,MAXADOOG
BASE,ALEXEIKERKIS,BLOCKED,2018-12-03-14.58.50.000000,,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2018-12-03-15.02.14.000000,,MAXADMIN
BASE,ALEXEIKERKIS,INACTIVE,2018-12-03-15.12.59.000000,,MAXADOOG
BASE,ALEXEIKERKIS,ACTIVE,2018-12-03-15.13.06.000000,,MAXADOOG
BASE,ALEXEIKERKIS,BLOCKED,2018-12-04-16.19.01.000000,,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2018-12-04-16.25.58.000000,,MAXADMIN
BASE,ALEXEIKERKIS,BLOCKED,2018-12-14-15.19.31.000000,,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2018-12-14-15.29.04.000000,,MAXADMIN
BASE,ALEXEIKERKIS,BLOCKED,2019-09-30-09.26.06.000000,,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2019-09-30-09.26.31.000000,,MAXADMIN
BASE,ALEXEIKERKIS,BLOCKED,2026-03-10-06.53.42.222000,,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2026-03-10-06.58.53.953000,,MAXADMIN
BASE,ALEXEIKERKIS,INACTIVE,2026-03-25-09.00.01.213000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXEIKERKIS,BLOCKED,2026-05-09-02.05.56.915000,,MAXADMIN
BASE,ALEXEIKERKIS,ACTIVE,2026-05-09-02.11.25.404000,,MAXADMIN
BASE,ALEXSALDANHA,ACTIVE,2023-04-28-15.56.34.000000,,ITEAM
BASE,ALEXSALDANHA,INACTIVE,2023-06-18-06.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXSANDROHENRIQUE,ACTIVE,2024-09-12-09.27.46.000000,,MAXADOOG
BASE,ALEXSANDROHENRIQUE,INACTIVE,2025-02-08-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXSILVA,ACTIVE,2021-04-06-16.32.01.000000,,MAXADOOG
BASE,ALEXSILVA,BLOCKED,2021-04-29-14.34.30.000000,,MAXADMIN
BASE,ALEXSILVA,ACTIVE,2021-04-29-14.34.50.000000,,MAXADMIN
BASE,ALEXSILVA,INACTIVE,2021-07-22-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXSILVA,ACTIVE,2021-08-23-15.15.15.000000,A pedido de Alex via Teams,MAXADOOG
BASE,ALEXSILVA,INACTIVE,2021-12-13-05.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXSILVA,ACTIVE,2022-05-05-13.38.39.000000,icket#0237603 — Acesso Máximo,ITEAM
BASE,ALEXSILVA,INACTIVE,2022-08-31-06.00.02.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXSILVA,ACTIVE,2022-12-01-11.56.46.000000,,MAXADOOG
BASE,ALEXSILVA,INACTIVE,2023-01-22-05.00.01.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALEXSILVA,ACTIVE,2023-01-30-14.20.51.000000,,MAXADOOG
BASE,ALEXSILVA,INACTIVE,2023-04-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALINEAMANCIO,ACTIVE,2017-07-14-14.52.27.000000,,MAXADMIN
BASE,ALINEAMANCIO,BLOCKED,2022-06-29-08.45.04.000000,,MAXADMIN
BASE,ALINEAMANCIO,ACTIVE,2022-06-29-08.53.25.000000,,MAXADMIN
BASE,ALINEAMANCIO,BLOCKED,2024-04-16-10.19.06.000000,,MAXADMIN
BASE,ALINEAMANCIO,ACTIVE,2024-04-16-10.20.13.000000,,MAXADMIN
BASE,ALINEAMANCIO,INACTIVE,2026-03-25-09.00.01.248000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALINEAMANCIO,INACTIVE,2026-03-26-07.30.00.611000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALINEGOMES,INACTIVE,2026-03-25-21.35.01.284000,,MAXADOOG
BASE,ALINEGOMES,ACTIVE,2026-03-25-21.35.09.441000,,MAXADOOG
BASE,ALINEGOMES,INACTIVE,2026-05-15-07.30.02.191000,Usuario inativo por mais de 50 dias,MAXADMIN
BASE,ALISSONBARROS,ACTIVE,2023-12-11-15.27.19.000000,,ITEAM
