ENVIRONMENT,PERSONGROUP,DESCRIPTION,ISCREWWORKGROUP,OOG_DEPARTMENT,OOG_USEINMOC,OOG_ISTOPSIDE
HTQ,TESON,Tesouraria / Treasury,0,0,1,-
HTQ,OOG_COOD,Person Group of Additional Service Coordinators,0,0,0,-
HTQ,CONF,Confiabilidade Aplicada,0,1,0,-
HTQ,OOG_MEET,Group for Planning and Simultaneity Meeting,0,0,0,-
HTQ,OOG_HSE,Person Group for PTWs approval (Safety Technician),0,0,0,-
HTQ,OOG_PTWA,PTW - Group for PT Administrator users,0,0,0,-
HTQ,OOG_OIMP,Person Group for PTWs approval (OIM/Capitão),0,0,0,-
HTQ,TERCEIRO,Grupo terceiros da PTW,0,1,0,-
HTQ,OOG_ESUP,PTW - Entry Supervisor Group,0,0,0,-
HTQ,OOG_EP,Planning Engineering Coordinator (PR with AFE CAPEX),0,0,0,-
HTQ,OOG_LBAP,Log Book Approvers in WF OOG_LOGBOO,0,0,0,-
HTQ,AB_ANENG,Person group to Analyst Engineers used in workflow of Alerts & Bulletins,0,0,0,-
HTQ,AB_ANPLA,Person group to Analyst Planners used in workflow of Alerts & Bulletins,0,0,0,-
HTQ,MOB_HTQ,Person group for Mobile - HTQ,0,0,0,-
HTQ,MOB_ODN4,Person group for Mobile - ODN4,0,0,0,-
HTQ,MOB_ODN1,Person group for Mobile - ODN1,0,0,0,-
HTQ,MOB_OPBA,Person group for Mobile - OP-BASE,0,0,0,-
HTQ,MOB_ODN2,Person group for Mobile - ODN2,0,0,0,-
HTQ,MOB_N08,Person group for Mobile - N08,0,0,0,-
HTQ,MOB_N09,Person group for Mobile - N09,0,0,0,-
HTQ,MOB_N06,Person group for Mobile - N06,0,0,0,-
HTQ,MOB_ODN3,Person group for Mobile - ODN3,0,0,0,-
HTQ,MOB_POL,For site POL,0,0,0,-
HTQ,MOB_PGA,For site PGA,0,0,0,-
HTQ,MOB_PGB,For site PGB,0,0,0,-
HTQ,MOB_PGC,For dite PGC,0,0,0,-
HTQ,SST_ANALYS,Person Group of persons to preliminary applicability analysis in Alert & Bulletins SST,0,0,0,-
HTQ,SST_SUSTEN,Group with sustentability persons,0,0,0,-
HTQ,OOG_QA_RSK,Quality Assurance used in initial approval from Risk Assessment,0,0,0,-
HTQ,FetchAll:,156,rows,fetched.,,
HTQ,>,,,,,
N06,ET,ET,0,1,0,-
N06,OOG_MACO,Materials Coordinators,0,0,0,-
N06,HSE,HSE - Safety,0,1,0,-
N06,RADIO,Radio,0,1,0,-
N06,SUBSEA,Subsea,0,1,0,-
N06,ENGINEER,Engineering,0,1,0,-
N06,MARINE,Marine,0,1,0,-
N06,ELECTRIC,Electrical,0,1,0,-
N06,MAINTENA,-,0,1,0,-
N06,MATERIAL,Material,0,1,0,-
N06,OOG_MNCO,Maintenance Coordinators,0,0,0,-
N06,OOG_AMGR,Asset Managers,0,0,0,-
N06,DRILLING,DRILLING,0,1,0,-
N06,HOSPITAL,Hospital,0,1,0,-
N06,MCHNIC,Mechanical,0,1,0,-
N06,OOG_DEPT,Person group of deputy people,0,0,0,-
N06,ROV,ROV,0,1,0,-
N06,OOG_PRWF,Group of people notified when cancelling some PR,0,0,0,-
N06,RELIABIL,Realibility Department to Engineers from the Base,0,1,0,-
N06,OOG_AC,Asset Coordinator Person Group,0,0,0,-
N06,OOG_EC,Engineering Coordinator person group,0,0,0,-
