ENVIRONMENT,GROUPNAME,DESCRIPTION,INDEPENDENT,AUTHALLSITES,AUTHALLGLS,AUTHALLSTOREROOMS,AUTHLABORALL,AUTHLABORCREW,AUTHLABORSELF,AUTHLABORSUPER,AUTHPERSONGROUP,DFLTAPP,WORKCENTER
N06,OOG_PTW_ISSUER,Permit to Work Issuer,0,1,0,0,0,0,0,0,0,-,-
N06,OOG_PTW_APPROVERS,Permit to Work Approvers,0,1,0,0,0,0,0,0,0,-,-
N06,OOG_REGISTER_HTQ,HTQ Item Registration,0,0,0,0,1,0,0,0,0,-,-
N06,HTQ_MATERIALS_COORDINATOR,HTQ Materials Coordinator,0,0,1,0,0,0,0,0,0,-,-
N06,OOG_USERS_HTQ,HTQ Users,0,0,0,1,0,0,0,0,0,-,-
N06,MOBILE,Security Group for Mobile,0,0,0,0,0,0,0,0,0,-,-
N06,OOG_AB_SST,Grupo de seguran�a para acesso a aplica��o Alert & Bulletins SST,0,0,0,0,0,0,0,0,0,-,-
N06,FetchAll:,74,rows,fetched.,,,,,,,,,
N06,>,,,,,,,,,,,,
N08,OOG_RELIABILITY_TEAM,Reliability Team,0,0,0,0,0,0,0,0,0,-,-
N08,OOG_SUPERVISOR,Grupo de supervisores,0,0,0,0,1,0,0,0,0,-,-
N08,TUTOR_GROUP,Tutor,0,0,0,0,0,0,0,0,0,-,-
N08,MGUEST,Guest Group,0,1,0,0,0,0,0,0,0,SELFSERVICE,-
N08,Inv_ready,Inventory Read Only,0,0,0,0,0,0,0,0,0,-,-
N08,MAXREADONLYSPPT,Maximo Read Only Access for Support,0,1,1,1,1,0,0,0,0,-,-
N08,OOG_RIGMGR,Rig Manager,0,0,0,0,0,0,0,0,0,-,-
N08,OOG_BASE_READ_ONLY,Base Read Only,0,1,0,0,0,0,0,0,0,-,-
N08,MAXADMIN,Maximo Administrators (Super Users),1,1,1,1,1,0,0,0,0,-,-
N08,MAXREG,Self Registration Process Access,1,0,0,0,0,0,0,0,0,-,-
N08,MAXDEFLTREG,New User,0,0,0,0,0,0,0,0,0,-,-
N08,MAXEVERYONE,All Maximo Users,0,0,1,0,0,0,0,0,0,-,-
N08,OOG_ASSET_MANAGER,Asset Manager,0,0,0,0,1,0,0,0,0,-,-
N08,OOG_OPMGR,Operation Manager,0,0,0,0,0,0,0,0,0,-,-
N08,OOG_MAINTENANCE_COORDINATOR,Maintenance Coordinator,0,0,1,0,1,0,0,0,0,-,-
N08,OOG_MATERIALS_COORDINATOR,Materials Coordinator,0,0,1,0,0,0,0,0,0,-,-
N08,OOG_DEFSITE_DATA_RESTRICTIONS,Default site data restrictions,0,0,0,0,0,0,0,0,0,-,-
N08,PLSV_CA,PLSV CA Site,0,0,0,1,0,0,0,0,0,-,-
N08,OOG_HELPDESK,Help desk group,1,0,0,0,0,0,0,0,0,-,-
N08,OOG_ASSIST_RIGMGR,Assistant Rig Manager,0,0,0,0,0,0,0,0,0,-,-
N08,OOG_FIELD_SUPPORT,Field Support,0,0,0,0,0,0,0,0,0,-,-
N08,OOG_MAXIMO_COORDINATOR,Maximo Coordinator,0,0,0,0,1,0,0,0,0,-,-
N08,OOG_ALLSITES,All Sites Security Group,0,0,0,1,0,0,0,0,0,-,-
