ENVIRONMENT,GROUPNAME,APP,OPTIONNAME
N08,MAXADMIN,PLUSGPO,CANCEL
N08,MAXADMIN,PLUSGPO,APPROVE
N08,OOG_MAINTENANCE_COORDINATOR,PLUSGPO,APPROVE
N08,OOG_MAINTENANCE_COORDINATOR,PLUSGPO,SAVE
N08,OOG_MAINTENANCE_COORDINATOR,PLUSGPO,CANCEL
N08,OOG_MATERIALS_COORDINATOR,PLUSGPO,SAVE
N08,OOG_MATERIALS_COORDINATOR_YARD,PLUSGPO,SAVE
N08,OOG_QUALIFIED_PROFESSIONAL,PLUSGPO,SAVE
N08,OOG_QUALIFIED_PROFESSIONAL,PLUSGPO,APPROVE
N08,OOG_QUALIFIED_PROFESSIONAL,PLUSGPO,CANCEL
N08,HTQ_MATERIALS_COORDINATOR,PLUSGPR,CANCEL
N08,HTQ_MATERIALS_COORDINATOR,PLUSGPR,SAVE
N08,HTQ_MATERIALS_COORDINATOR,PLUSGPR,INSERT
N08,MAXADMIN,PLUSGPR,INSERT
N08,MAXADMIN,PLUSGPR,SAVE
N08,MAXADMIN,PLUSGPR,UNAPPROVE
N08,MAXADMIN,PLUSGPR,COMPLETE
N08,MAXADMIN,PLUSGPR,CANCEL
N08,MAXADMIN,PLUSGPR,APPROVE
N08,OOG_ASSET_COORDINATOR,PLUSGPR,CANCEL
